"Timestamp","Have you ever worked remotely (Please exit if No)","Age:","Gender:","Job Role:","Industry:","Years of Experience in Current Role: ","Work Location:","Hours Worked Per Week","Number of Virtual Meetings Per Week:","Work Life Balance Rating with One being the lowest(Poor balance) and five the highest ( well balanced):","What is your stress level while working remotely?","How would you describe your overall mental health condition while working remotely:","Do you have access to mental health resources:","Rate your Productivity Change working Remotely:","Rate your Social Isolation while working remotely with One being the lowest(very Isolated) and five being the highest (not Isolated): ","Rate your satisfaction with working Remotely:","Rate your Company support while working remotely with One being the lowest(not supported) and five being  the highest(well supported):","Rate your sleep quality While working remotely:","Region:"
"2025/01/03 4:01:00 AM EST","Yes","30 - 39","Male","Data Scientist","IT","Less than 1 year","Remote","20-29","0-9","Four","Low","None","No","Increase","Two","Satisfied","Four","Average","Africa"
"2025/01/03 2:06:28 PM EST","No","30 - 39","Male","Hospitality ","Hotel operations ","More than 10 years","Onsite","60 and above","0-9","Four","Medium","None","Yes","No Change","Three","Satisfied","Three","Good","Africa"
"2025/01/04 3:48:20 AM EST","Yes","20 - 29","","Software Engineer","Finance","1-3 years","Onsite","40-49","10-19","Two","Medium","Burnout","No","No Change","Two","Neutral","Two","Poor","Africa"
"2025/01/10 8:41:11 PM EST","Yes","40 - 49","Female","HR","Health Care","7-10 years","Remote","40-49","10-19","Four","High","Burnout","No","Increase","One","Neutral","One","Average","North America"
"2025/01/10 8:42:36 PM EST","Yes","30 - 39","Male","Project Manager","Consulting","1-3 years","Hybrid","20-29","20-29","Three","Medium","Anxiety","No","No Change","Three","Neutral","Three","Average","North America"
"2025/01/10 8:44:23 PM EST","Yes","50  - 59","Prefer not to say","Sales","Manufacturing","4-6 years","Onsite","20-29","10-19","Two","Low","Depression","No","Increase","One","Satisfied","One","Good","North America"
"2025/01/10 8:46:21 PM EST","Yes","60 - and above","Non - binary","Marketing","Finance","Less than 1 year","Hybrid","50-59","30-39","Four","Medium","None","No","Increase","Four","Satisfied","One","Good","North America"
"2025/01/10 8:47:56 PM EST","Yes","30 - 39","Male","Software Engineer","IT","More than 10 years","Hybrid","60 and above","0-9","Four","Medium","Anxiety","No","Increase","Five","Satisfied","Four","Poor","North America"
"2025/01/10 8:49:00 PM EST","Yes","30 - 39","Female","Sales","Retail","4-6 years","Hybrid","50-59","20-29","Five","High","None","No","Decrease","Five","Unsatisfied","Five","Poor","North America"
"2025/01/10 8:50:07 PM EST","Yes","40 - 49","Female","Designer","Retail","More than 10 years","Hybrid","20-29","10-19","Two","Medium","Burnout","No","Decrease","Five","Neutral","Five","Good","Asia"
"2025/01/10 8:50:58 PM EST","Yes","20 - 29","Male","Data Scientist","IT","Less than 1 year","Hybrid","60 and above","10-19","Five","Medium","Depression","No","Decrease","Five","Unsatisfied","Five","Poor","Asia"
"2025/01/10 11:03:05 PM EST","Yes","40 - 49","Male","Marketing","Manufacturing","4-6 years","Remote","40-49","10-19","Three","Medium","Burnout","No","Increase","Three","Unsatisfied","Three","Average","South America"
"2025/01/10 11:05:44 PM EST","Yes","30 - 39","Female","Data Scientist","IT","7-10 years","Remote","40-49","0-9","Four","High","Anxiety","Yes","No Change","Four","Neutral","Four","Average","North America"
"2025/01/10 11:09:12 PM EST","Yes","30 - 39","Male","HR","Consulting","7-10 years","Remote","40-49","20-29","Two","Medium","Depression","Yes","Increase","Four","Satisfied","Four","Good","Europe"
"2025/01/10 11:56:16 PM EST","Yes","Under 20","Male","Software Engineer","IT","Less than 1 year","Remote","20-29","0-9","Five","Medium","None","Yes","Increase","Three","Neutral","Four","Average","South America"
"2025/01/11 9:36:09 AM EST","Yes","60 - and above","Male","Data Scientist","Consulting","Less than 1 year","Hybrid","20-29","0-9","One","Low","Depression","No","Increase","One","Satisfied","One","Good","Asia"
"2025/01/11 9:36:57 AM EST","Yes","50  - 59","Female","Designer","Education","1-3 years","Onsite","30-39","10-19","Two","Medium","Anxiety","No","Decrease","Two","Neutral","Two","Average","Europe"
"2025/01/11 9:38:33 AM EST","Yes","30 - 39","Non - binary","HR","Finance","4-6 years","Remote","40-49","20-29","Three","High","Burnout","No","No Change","Three","Unsatisfied","Three","Poor","North America"
"2025/01/11 9:39:32 AM EST","Yes","Under 20","Prefer not to say","Marketing","Health Care","1-3 years","Hybrid","20-29","10-19","Four","High","None","No","No Change","Four","Unsatisfied","Four","Poor","South America"
"2025/01/11 9:49:44 AM EST","Yes","40 - 49","Male","Project Manager","Manufacturing","More than 10 years","Hybrid","50-59","20-29","Four","High","Burnout","No","No Change","Four","","Four","Average","Oceania"
"2025/01/11 6:48:39 PM EST","Yes","20 - 29","Female","Designer","Retail","1-3 years","Onsite","20-29","10-19","Two","Medium","Anxiety","No","No Change","Five","Satisfied","Two","Good","North America"
"2025/01/12 6:21:18 AM EST","Yes","Under 20","Male","Data Scientist","Consulting","Less than 1 year","Hybrid","20-29","0-9","One","Low","Depression","No","Increase","One","Satisfied","One","Good","South America"
"2025/01/12 6:22:16 AM EST","Yes","20 - 29","Male","Designer","Education","1-3 years","Onsite","30-39","10-19","Two","Medium","Anxiety","No","Decrease","Two","Neutral","Two","Average","Oceania"
"2025/01/12 6:23:13 AM EST","Yes","30 - 39","Prefer not to say","HR","Finance","4-6 years","Remote","40-49","20-29","Three","High","Burnout","No","No Change","Three","Unsatisfied","Three","Poor","North America"
"2025/01/12 6:24:17 AM EST","Yes","40 - 49","Prefer not to say","Marketing","Health Care","7-10 years","Remote","50-59","30-39","Four","High","None","No","No Change","Four","Unsatisfied","Four","Poor","Europe"
"2025/01/12 6:25:39 AM EST","Yes","50  - 59","Prefer not to say","Project Manager","IT","More than 10 years","Onsite","60 and above","40 and above","Five","High","None","No","No Change","Five","Neutral","Five","Poor","Asia"
"2025/01/12 6:26:35 AM EST","Yes","60 - and above","Male","Sales","Retail","7-10 years","Onsite","50-59","30-39","Three","Low","Depression","No","Decrease","Five","Unsatisfied","Five","Average","North America"
"2025/01/12 6:27:33 AM EST","Yes","40 - 49","Female","Software Engineer","IT","4-6 years","Hybrid","30-39","30-39","Four","Low","Burnout","No","No Change","Five","Unsatisfied","Five","Poor","Oceania"
"2025/01/12 6:28:28 AM EST","Yes","30 - 39","Female","Sales","Manufacturing","4-6 years","Onsite","50-59","20-29","Five","Medium","None","Yes","Decrease","Three","Neutral","Four","Poor","Oceania"
"2025/01/12 6:29:47 AM EST","Yes","20 - 29","Female","Designer","Manufacturing","7-10 years","Hybrid","50-59","20-29","Two","Low","Depression","Yes","Increase","Four","Neutral","Three","Average","Europe"
"2025/01/12 6:30:41 AM EST","Yes","40 - 49","Male","Project Manager","Manufacturing","4-6 years","Onsite","40-49","20-29","Four","High","None","Yes","Decrease","Four","Satisfied","Four","Poor","North America"
"2025/01/12 1:13:27 PM EST","Yes","40 - 49","Female","Project Manager","Manufacturing","7-10 years","Remote","20-29","10-19","Two","Medium","None","Yes","Decrease","Two","Neutral","Four","Good","Asia"
"2025/01/12 6:55:15 PM EST","Yes","40 - 49","Male","Data Scientist","Consulting","1-3 years","Hybrid","30-39","0-9","Two","High","Burnout","No","Decrease","Four","Neutral","Three","Average","Oceania"
"2025/01/12 6:56:18 PM EST","Yes","20 - 29","Female","Marketing","Manufacturing","4-6 years","Remote","40-49","10-19","Four","High","None","No","No Change","Four","Unsatisfied","Five","Poor","Oceania"
"2025/01/12 6:57:30 PM EST","Yes","50  - 59","Female","Sales","Manufacturing","4-6 years","Remote","40-49","30-39","Four","High","Burnout","No","Decrease","Five","Unsatisfied","Five","Poor","North America"
"2025/01/12 6:58:22 PM EST","Yes","30 - 39","Prefer not to say","Designer","Manufacturing","4-6 years","Onsite","30-39","20-29","Three","","Depression","No","No Change","Five","Unsatisfied","Five","Poor","Oceania"
"2025/01/12 6:59:13 PM EST","Yes","40 - 49","Non - binary","Project Manager","Health Care","4-6 years","Onsite","40-49","20-29","Four","Medium","Anxiety","Yes","Increase","Three","Neutral","Three","Average","Oceania"
"2025/01/12 7:00:08 PM EST","Yes","30 - 39","Non - binary","HR","IT","4-6 years","Hybrid","50-59","0-9","Three","Medium","Depression","No","Increase","Three","Satisfied","One","Good","Oceania"
"2025/01/12 7:00:59 PM EST","Yes","40 - 49","Prefer not to say","Sales","Health Care","4-6 years","Onsite","40-49","30-39","Three","Medium","Burnout","Yes","Decrease","Three","Unsatisfied","Five","Good","Oceania"
"2025/01/12 7:01:49 PM EST","Yes","40 - 49","Female","Designer","IT","More than 10 years","Remote","40-49","20-29","Four","Low","Depression","Yes","Increase","One","Satisfied","Three","Poor","Oceania"
"2025/01/12 7:02:37 PM EST","Yes","40 - 49","Prefer not to say","Software Engineer","IT","7-10 years","Onsite","40-49","20-29","Three","Medium","Anxiety","No","No Change","Three","Neutral","Three","Average","Oceania"
"2025/01/12 9:41:45 PM EST","Yes","30 - 39","Female","Data Scientist","IT","Less than 1 year","Remote","30-39","0-9","Three","Medium","None","No","Increase","Three","Satisfied","Three","Average","North America"
"2025/01/13 10:19:13 AM EST","Yes","60 - and above","Female","HR","Manufacturing","4-6 years","Onsite","50-59","30-39","Five","High","Burnout","No","No Change","Five","Unsatisfied","Five","Poor","North America"
"2025/01/13 10:20:57 AM EST","Yes","30 - 39","Male","Designer","Education","1-3 years","Onsite","20-29","40 and above","Two","Low","Depression","No","Decrease","Five","Neutral","Five","Average","North America"
"2025/01/13 10:22:28 AM EST","Yes","40 - 49","Prefer not to say","Software Engineer","IT","4-6 years","Hybrid","20-29","20-29","Three","Medium","Anxiety","No","Decrease","Five","Unsatisfied","Five","Poor","South America"
"2025/01/13 10:24:04 AM EST","Yes","Under 20","Female","Sales","Consulting","4-6 years","Remote","40-49","20-29","Three","High","None","Yes","Increase","Five","Neutral","Five","Average","North America"
"2025/01/13 10:25:49 AM EST","Yes","60 - and above","Male","Project Manager","Manufacturing","7-10 years","Remote","50-59","20-29","Three","High","Burnout","No","Decrease","Three","Neutral","Four","Average","South America"
"2025/01/13 10:31:10 AM EST","Yes","30 - 39","Prefer not to say","Sales","Health Care","1-3 years","Onsite","40-49","20-29","Four","High","Depression","No","Decrease","Three","Unsatisfied","Three","Average","South America"
"2025/01/13 10:32:48 AM EST","Yes","30 - 39","Non - binary","Marketing","Manufacturing","1-3 years","Remote","20-29","10-19","Three","High","Anxiety","No","No Change","Three","Neutral","One","Good","North America"
"2025/01/13 10:34:58 AM EST","Yes","30 - 39","Prefer not to say","Designer","Retail","7-10 years","Remote","60 and above","40 and above","Five","High","Anxiety","No","Decrease","Three","Neutral","Two","Good","North America"
"2025/01/13 10:36:55 AM EST","Yes","50  - 59","Non - binary","Marketing","Consulting","Less than 1 year","Onsite","30-39","10-19","Two","Low","None","No","Decrease","Four","Unsatisfied","Five","Average","Asia"
"2025/01/13 10:48:30 AM EST","Yes","50  - 59","Female","SECRETARY ","OIL AND GAS","More than 10 years","Onsite","20-29","0-9","Three","Medium","None","Yes","No Change","Three","Satisfied","Four","Good","Africa"
"2025/01/13 11:07:49 AM EST","Yes","40 - 49","Female","Marketing","Health Care","7-10 years","Onsite","40-49","20-29","Three","Medium","Burnout","No","Decrease","Four","Unsatisfied","Four","Poor","Europe"
"2025/01/13 11:09:11 AM EST","Yes","40 - 49","Non - binary","Project Manager","Finance","More than 10 years","Hybrid","60 and above","30-39","Five","High","None","No","Increase","Five","Satisfied","One","Good","Europe"
"2025/01/13 11:11:06 AM EST","Yes","60 - and above","Prefer not to say","Software Engineer","IT","4-6 years","Onsite","60 and above","10-19","Three","High","Burnout","No","No Change","Five","Unsatisfied","Five","Poor","Europe"
"2025/01/13 11:12:19 AM EST","Yes","40 - 49","Non - binary","HR","Consulting","Less than 1 year","Hybrid","20-29","20-29","Four","Medium","Burnout","No","Decrease","Five","Unsatisfied","Four","Poor","Europe"
"2025/01/13 11:15:20 AM EST","Yes","50  - 59","Female","Software Engineer","IT","1-3 years","Onsite","40-49","20-29","Four","High","Burnout","No","Increase","Five","Satisfied","Five","Poor","South America"
"2025/01/13 11:17:55 AM EST","Yes","Under 20","Non - binary","Data Scientist","Retail","7-10 years","Hybrid","40-49","20-29","Four","Medium","Anxiety","No","No Change","Three","Neutral","Four","Average","Europe"
"2025/01/13 4:41:44 PM EST","Yes","50  - 59","Female","Sales","Retail","More than 10 years","Remote","60 and above","40 and above","Five","High","None","No","No Change","Five","Unsatisfied","Five","Poor","South America"
"2025/01/13 4:42:41 PM EST","Yes","30 - 39","Male","Designer","Manufacturing","1-3 years","Onsite","40-49","20-29","Two","Low","Anxiety","No","Increase","Four","Satisfied","Three","Good","Europe"
"2025/01/13 4:43:43 PM EST","Yes","30 - 39","Female","Project Manager","IT","4-6 years","Onsite","40-49","20-29","Four","High","Anxiety","No","Decrease","Five","Unsatisfied","Five","Average","North America"
"2025/01/13 4:44:55 PM EST","Yes","40 - 49","Female","Marketing","Health Care","4-6 years","Onsite","50-59","30-39","Four","Medium","Depression","No","Decrease","Three","Satisfied","Four","Average","Europe"
"2025/01/13 4:45:55 PM EST","Yes","40 - 49","Non - binary","Project Manager","Education","4-6 years","Hybrid","50-59","20-29","Four","Medium","Anxiety","Yes","Decrease","Two","Neutral","Four","Poor","Europe"
"2025/01/13 4:46:35 PM EST","Yes","20 - 29","Female","Designer","Health Care","1-3 years","Onsite","50-59","20-29","Three","Medium","Burnout","No","Decrease","Three","Neutral","Three","Poor","South America"
"2025/01/13 4:47:14 PM EST","Yes","Under 20","Male","Data Scientist","Consulting","Less than 1 year","Onsite","40-49","30-39","Four","Medium","Burnout","No","Increase","One","Satisfied","One","Good","Europe"
"2025/01/13 4:47:57 PM EST","Yes","40 - 49","Non - binary","Marketing","Health Care","7-10 years","Hybrid","50-59","30-39","Four","Medium","Burnout","Yes","Increase","One","Satisfied","Three","Average","North America"
"2025/01/13 4:48:34 PM EST","Yes","50  - 59","Non - binary","HR","Finance","1-3 years","Onsite","40-49","20-29","Four","Medium","Burnout","No","Decrease","Four","Neutral","Three","Average","Asia"
"2025/01/13 4:49:13 PM EST","Yes","40 - 49","Female","Designer","Finance","4-6 years","Onsite","50-59","30-39","Four","Medium","Burnout","No","No Change","Three","Unsatisfied","Four","Average","Asia"
"2025/01/13 4:49:56 PM EST","Yes","30 - 39","Prefer not to say","HR","Education","1-3 years","Onsite","30-39","30-39","Four","Medium","Burnout","No","Decrease","Two","Satisfied","Two","Poor","North America"
"2025/01/13 4:50:35 PM EST","Yes","20 - 29","Female","Data Scientist","Consulting","1-3 years","Onsite","40-49","20-29","Three","Medium","Depression","No","Decrease","Two","Neutral","Three","Good","Europe"
"2025/01/13 4:51:14 PM EST","Yes","30 - 39","Female","HR","Consulting","4-6 years","Remote","40-49","20-29","Three","High","None","No","Decrease","Three","","Three","Average","North America"
"2025/01/13 4:51:50 PM EST","Yes","40 - 49","Non - binary","HR","Education","4-6 years","Onsite","50-59","30-39","Three","High","Anxiety","No","Decrease","Three","Satisfied","Three","Average","Europe"
"2025/01/13 4:52:39 PM EST","Yes","50  - 59","Non - binary","Marketing","Finance","1-3 years","Onsite","50-59","20-29","Three","Medium","Burnout","No","No Change","Three","Neutral","Three","Average","North America"
"2025/01/13 6:42:50 PM EST","Yes","20 - 29","Male","Data Scientist","IT","1-3 years","Onsite","50-59","30-39","Four","Low","Depression","No","Decrease","Three","Neutral","Three","Average","Europe"
"2025/01/13 6:43:41 PM EST","Yes","50  - 59","Female","Designer","Education","1-3 years","Hybrid","30-39","20-29","Four","Medium","Depression","No","Decrease","Four","Neutral","Three","Average","North America"
"2025/01/13 6:44:30 PM EST","Yes","30 - 39","Non - binary","Designer","Manufacturing","4-6 years","Onsite","40-49","","Two","Medium","","No","Decrease","Three","Unsatisfied","Three","Average","Oceania"
"2025/01/13 6:45:37 PM EST","Yes","30 - 39","Non - binary","Designer","Finance","4-6 years","Onsite","40-49","30-39","Three","High","None","No","Decrease","Three","Neutral","Two","Average","North America"
"2025/01/13 6:46:43 PM EST","Yes","40 - 49","Female","Software Engineer","Retail","More than 10 years","Remote","50-59","30-39","Four","Medium","None","Yes","Increase","Five","Unsatisfied","Four","Poor","Oceania"
"2025/01/13 6:49:10 PM EST","Yes","60 - and above","Prefer not to say","HR","Finance","More than 10 years","Remote","50-59","30-39","Five","High","None","Yes","Increase","Five","Satisfied","Five","Good","North America"
"2025/01/13 6:50:13 PM EST","Yes","Under 20","Male","Data Scientist","Education","4-6 years","Remote","60 and above","40 and above","Five","High","Depression","No","No Change","Five","Unsatisfied","Five","Poor","Oceania"
"2025/01/13 6:51:09 PM EST","Yes","50  - 59","Prefer not to say","Sales","Retail","4-6 years","Remote","50-59","30-39","Five","High","Depression","No","Decrease","Four","Neutral","Four","Poor","Oceania"
"2025/01/13 6:53:24 PM EST","Yes","30 - 39","Non - binary","HR","Health Care","4-6 years","Onsite","30-39","20-29","Three","High","Anxiety","No","Decrease","Four","Satisfied","Five","Poor","Europe"
"2025/01/13 6:54:46 PM EST","Yes","50  - 59","Female","Project Manager","IT","7-10 years","Onsite","","20-29","Four","Medium","Burnout","No","No Change","Five","Neutral","Four","Poor","Asia"
"2025/01/13 6:57:18 PM EST","Yes","20 - 29","Female","Software Engineer","IT","4-6 years","Hybrid","30-39","0-9","Three","Low","Anxiety","No","Increase","Three","Satisfied","Three","Poor","Asia"
"2025/01/13 7:08:18 PM EST","Yes","Under 20","Male","Designer","Finance","4-6 years","Remote","40-49","30-39","Four","High","Burnout","No","No Change","Four","Unsatisfied","Five","Average","Asia"
"2025/01/13 7:09:56 PM EST","Yes","20 - 29","Female","Marketing","Education","1-3 years","Remote","40-49","20-29","Four","Medium","Burnout","No","No Change","Four","Unsatisfied","Four","Good","North America"
"2025/01/13 7:13:15 PM EST","Yes","40 - 49","Non - binary","Sales","Manufacturing","7-10 years","Onsite","50-59","20-29","Three","Medium","Anxiety","No","Increase","Five","Unsatisfied","Five","Poor","South America"
"2025/01/13 7:14:10 PM EST","Yes","40 - 49","Non - binary","Project Manager","Finance","7-10 years","Remote","30-39","20-29","Three","Medium","Burnout","No","Decrease","Five","Unsatisfied","Five","Poor","Oceania"
"2025/01/13 7:15:24 PM EST","Yes","20 - 29","Female","Sales","Retail","4-6 years","Onsite","30-39","10-19","Four","High","Burnout","No","No Change","One","Satisfied","One","Average","North America"
"2025/01/13 7:17:40 PM EST","Yes","50  - 59","Non - binary","Project Manager","Health Care","4-6 years","Remote","50-59","10-19","Three","Medium","Anxiety","No","Decrease","Three","Satisfied","Four","Good","Asia"
"2025/01/13 7:18:59 PM EST","Yes","20 - 29","Male","Marketing","Health Care","7-10 years","Remote","40-49","20-29","Three","Medium","Anxiety","No","Decrease","Three","Satisfied","Three","Average","Asia"
"2025/01/13 7:20:33 PM EST","Yes","40 - 49","Male","Marketing","Retail","More than 10 years","Onsite","40-49","20-29","Four","Low","Anxiety","Yes","Increase","One","Neutral","Three","Average","Oceania"
"2025/01/13 7:22:26 PM EST","Yes","30 - 39","Non - binary","HR","Education","Less than 1 year","Hybrid","40-49","20-29","Two","Medium","Anxiety","No","Increase","Two","Satisfied","Two","Good","Asia"
"2025/01/13 7:23:56 PM EST","Yes","50  - 59","Female","Data Scientist","Consulting","1-3 years","Onsite","50-59","0-9","Three","Medium","None","No","Decrease","Four","Unsatisfied","Three","Poor","South America"
"2025/01/13 7:25:22 PM EST","Yes","30 - 39","Female","Project Manager","Finance","Less than 1 year","Hybrid","40-49","20-29","Four","Low","Depression","No","Increase","Three","Unsatisfied","One","Good","Europe"
"2025/01/13 7:26:22 PM EST","Yes","Under 20","Male","Designer","Education","4-6 years","Hybrid","20-29","0-9","Three","High","None","No","No Change","Three","Unsatisfied","Five","Poor","Oceania"
"2025/01/13 7:27:24 PM EST","Yes","30 - 39","Female","Project Manager","Health Care","4-6 years","Hybrid","40-49","10-19","Two","Medium","Anxiety","No","Decrease","Three","Neutral","Three","Average","Europe"
"2025/01/13 7:28:21 PM EST","Yes","30 - 39","Female","HR","IT","4-6 years","Remote","40-49","30-39","Three","Medium","Anxiety","No","Decrease","Three","Neutral","Three","Average","Europe"
"2025/01/13 7:29:39 PM EST","Yes","40 - 49","Female","Project Manager","Health Care","4-6 years","Onsite","30-39","10-19","Three","Medium","Burnout","No","Decrease","Three","Neutral","Four","Average","Oceania"
"2025/01/13 9:07:04 PM EST","Yes","20 - 29","Male","Data Scientist","Consulting","Less than 1 year","Hybrid","20-29","0-9","One","Low","Depression","Yes","Increase","One","Satisfied","One","Good","Asia"
"2025/01/13 9:07:44 PM EST","Yes","20 - 29","Female","Designer","Education","1-3 years","Onsite","30-39","10-19","Two","Medium","Anxiety","No","Decrease","Two","Neutral","Three","Average","Asia"
"2025/01/13 9:08:27 PM EST","Yes","30 - 39","Non - binary","HR","Manufacturing","4-6 years","Onsite","40-49","20-29","Three","Medium","Burnout","No","Decrease","Four","Neutral","Four","Average","North America"
"2025/01/13 9:09:05 PM EST","Yes","40 - 49","Female","HR","Finance","4-6 years","Remote","50-59","30-39","Three","High","None","No","No Change","Four","Neutral","Four","Average","North America"
"2025/01/13 9:09:46 PM EST","Yes","30 - 39","Female","Project Manager","Finance","4-6 years","Onsite","50-59","40 and above","Four","Medium","Burnout","No","Decrease","Three","Neutral","Four","Poor","North America"
"2025/01/13 9:10:29 PM EST","Yes","40 - 49","Female","Sales","Retail","7-10 years","Remote","40-49","20-29","Three","Medium","Anxiety","No","Increase","Two","Satisfied","Three","Average","Europe"
"2025/01/13 9:11:09 PM EST","Yes","40 - 49","Non - binary","Project Manager","IT","4-6 years","Onsite","40-49","20-29","Three","Low","Depression","Yes","Increase","One","Satisfied","One","Good","Europe"
"2025/01/13 9:11:49 PM EST","Yes","30 - 39","Prefer not to say","Sales","Health Care","Less than 1 year","Onsite","50-59","30-39","Three","High","Anxiety","Yes","Increase","Two","Unsatisfied","Four","Average","North America"
"2025/01/13 9:12:34 PM EST","Yes","30 - 39","Male","Project Manager","Manufacturing","4-6 years","Onsite","30-39","10-19","Three","Low","Depression","Yes","Increase","Five","Satisfied","One","Average","Europe"
"2025/01/13 9:13:16 PM EST","Yes","40 - 49","Non - binary","Marketing","IT","4-6 years","Remote","20-29","0-9","Two","Low","Anxiety","Yes","Decrease","Three","Neutral","Three","Average","South America"
"2025/01/13 9:14:14 PM EST","Yes","Under 20","Male","Data Scientist","IT","Less than 1 year","Hybrid","20-29","0-9","One","Low","Depression","Yes","Decrease","Three","Neutral","Three","Average","Europe"
"2025/01/13 9:15:04 PM EST","Yes","60 - and above","Female","Marketing","Education","7-10 years","Onsite","60 and above","20-29","Four","Medium","Burnout","No","Increase","One","Satisfied","Two","Good","Asia"
"2025/01/13 9:15:44 PM EST","Yes","20 - 29","Female","Designer","Retail","4-6 years","Remote","50-59","30-39","Two","Medium","Anxiety","No","No Change","Four","Unsatisfied","Four","Poor","Oceania"
"2025/01/13 9:16:32 PM EST","Yes","40 - 49","Non - binary","Project Manager","Health Care","4-6 years","Onsite","40-49","10-19","Three","Medium","Depression","No","Decrease","One","Neutral","Two","Good","Asia"
"2025/01/13 9:17:25 PM EST","Yes","50  - 59","Non - binary","HR","IT","4-6 years","Onsite","40-49","20-29","Three","Medium","Anxiety","No","Decrease","Three","Neutral","Four","Average","North America"
"2025/01/13 9:28:27 PM EST","Yes","40 - 49","Prefer not to say","Software Engineer","IT","7-10 years","Remote","40-49","0-9","Three","Medium","Anxiety","No","No Change","Five","Unsatisfied","Four","Poor","North America"
"2025/01/13 9:30:07 PM EST","Yes","20 - 29","Female","Designer","Manufacturing","1-3 years","Hybrid","30-39","10-19","Two","Medium","Anxiety","No","Decrease","Three","Satisfied","Two","Average","Asia"
"2025/01/13 9:30:49 PM EST","Yes","40 - 49","Non - binary","Project Manager","IT","7-10 years","Onsite","50-59","30-39","Three","Medium","Anxiety","","Decrease","Three","Satisfied","Four","Poor","Europe"
"2025/01/13 9:31:28 PM EST","Yes","50  - 59","Non - binary","Sales","IT","4-6 years","Onsite","40-49","20-29","Three","Low","Burnout","No","Decrease","Three","Unsatisfied","Four","Poor","Europe"
"2025/01/13 9:32:08 PM EST","Yes","50  - 59","Non - binary","Sales","Manufacturing","1-3 years","Onsite","30-39","20-29","Two","Medium","Anxiety","No","Decrease","Three","Unsatisfied","Four","Average","North America"
"2025/01/13 9:32:51 PM EST","Yes","30 - 39","Female","HR","Consulting","Less than 1 year","Onsite","40-49","20-29","Three","Medium","Depression","Yes","Increase","One","Neutral","Two","Good","Europe"
"2025/01/13 9:34:06 PM EST","Yes","30 - 39","Female","HR","Manufacturing","1-3 years","Onsite","40-49","20-29","Four","Medium","Anxiety","No","Decrease","Three","Neutral","Three","Average","Europe"
"2025/01/14 3:58:42 PM EST","Yes","Under 20","Male","Data Scientist","IT","Less than 1 year","Hybrid","60 and above","20-29","Four","High","None","No","Decrease","Five","Unsatisfied","Five","Poor","Asia"
"2025/01/14 3:59:25 PM EST","Yes","20 - 29","Female","Designer","Retail","1-3 years","Onsite","30-39","10-19","Two","Medium","None","No","No Change","Two","Neutral","Two","Average","Europe"
"2025/01/14 4:00:09 PM EST","Yes","30 - 39","Non - binary","HR","Health Care","4-6 years","Onsite","40-49","20-29","Three","High","Anxiety","No","Decrease","Four","Neutral","Four","Poor","North America"
"2025/01/14 4:00:58 PM EST","Yes","30 - 39","Prefer not to say","Marketing","Finance","7-10 years","Onsite","40-49","30-39","Four","High","Burnout","No","No Change","Four","Neutral","Four","Average","North America"
"2025/01/14 4:01:56 PM EST","Yes","20 - 29","Female","Project Manager","Manufacturing","4-6 years","Hybrid","40-49","10-19","One","Medium","Depression","No","Increase","Three","Satisfied","Three","Average","Oceania"
"2025/01/14 4:02:39 PM EST","Yes","40 - 49","Male","Sales","Retail","More than 10 years","Remote","50-59","30-39","Five","High","None","No","No Change","Four","Unsatisfied","Five","Poor","South America"
"2025/01/14 4:03:19 PM EST","Yes","40 - 49","Prefer not to say","Sales","Education","7-10 years","Remote","40-49","20-29","Four","Low","Anxiety","No","Increase","Three","Neutral","Three","Poor","Oceania"
"2025/01/14 4:03:52 PM EST","Yes","40 - 49","Non - binary","Marketing","Education","1-3 years","Onsite","50-59","10-19","Three","Medium","Burnout","No","Decrease","Three","Satisfied","Three","Average","Asia"
"2025/01/14 4:04:34 PM EST","Yes","50  - 59","Male","Software Engineer","IT","1-3 years","Onsite","40-49","20-29","Four","Low","Anxiety","No","Decrease","Two","Neutral","Two","Average","Europe"
"2025/01/14 4:05:14 PM EST","Yes","30 - 39","Female","Software Engineer","IT","More than 10 years","Remote","40-49","20-29","Three","Medium","Depression","No","Increase","Five","Satisfied","Five","Good","North America"
"2025/01/14 4:05:56 PM EST","Yes","40 - 49","Female","Software Engineer","IT","1-3 years","Hybrid","30-39","10-19","Three","Low","Depression","No","Increase","Four","Satisfied","Five","Good","Oceania"
"2025/01/14 4:06:34 PM EST","Yes","20 - 29","Prefer not to say","Data Scientist","IT","4-6 years","Onsite","40-49","20-29","Three","Medium","Anxiety","No","Decrease","Two","Satisfied","One","Good","South America"
"2025/01/14 4:07:09 PM EST","Yes","20 - 29","Female","Designer","Manufacturing","1-3 years","Hybrid","40-49","20-29","Three","Medium","Burnout","Yes","Decrease","Three","Satisfied","Three","Good","South America"
"2025/01/14 4:07:50 PM EST","Yes","20 - 29","Non - binary","HR","IT","Less than 1 year","Remote","50-59","30-39","Three","High","None","No","No Change","Four","Neutral","Three","Average","Africa"
"2025/01/14 5:30:37 PM EST","Yes","30 - 39","Female","Designer","IT","1-3 years","Onsite","30-39","10-19","Two","Medium","Anxiety","Yes","Decrease","One","Satisfied","One","Good","Asia"
"2025/01/14 5:32:21 PM EST","Yes","Under 20","Male","HR","Consulting","Less than 1 year","Hybrid","30-39","0-9","Three","Medium","Burnout","No","No Change","Five","Unsatisfied","Two","Average","Oceania"
