Timestamp,Have you ever worked remotely (Please exit if No),Age,Gender,Job_Role,Industry,Years_Experience,Work_Location,Hours_Per_Week,Virtual_Meetings_per_week,Work_Life_Balance,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resource,Productivity_Change_Rating,Social_Isolation_Rating,Satisfaction_Level,Company_Support_Rating,Sleep_Quality_Rating,Region
07/02/2025 23:41,Yes,50 - 59,Female,Compliance Analyst,Health,7-10 years,Remote,20-29,0-9,One,Medium,Depression,Yes,Decrease,Four,Satisfied,One,Good,North America
16/01/2025 13:24,Yes,20 - 29,Female,IT Support,Software ,4-6 years,Hybrid,50+,20-29,Four,Low,Anxiety,Yes,No Change,Four,Very Satisfied,Two,Good,Oceania
08/01/2025 23:08,Yes,30 - 39,Female,Banking ,Oil & Gas,7-10 years,Remote,30-39,20-29,One,Low,Anxiety,No,Increase,Two,Satisfied,Four,Poor,Asia
18/01/2025 04:18,Yes,20 - 29,Female,Consultant,Oil & Gas,1-3 years,Remote,20-29,30+,One,Medium,Anxiety,No,No Change,One,Neutral,One,Poor,Europe
13/02/2025 07:11,Yes,60+,Male,HSE Officer ,Service ,7-10 years,Remote,40-49,0-9,Two,High,Depression,No,No Change,Five,Very Satisfied,One,Excellent,Oceania
07/02/2025 06:33,Yes,30 - 39,Female,Accountant ,Software ,More than 10 years,Hybrid,20-29,0-9,One,Low,None,No,Increase,One,Dissatisfied,One,Poor,North America
12/02/2025 22:36,Yes,60+,Male,Process Engineer,Oil & Gas,7-10 years,Hybrid,30-39,20-29,Three,High,Anxiety,No,No Change,Two,Satisfied,One,Poor,Asia
17/01/2025 09:27,Yes,20 - 29,Non-Binary,Project Manager,Gaming,Less than 1 year,Remote,50+,Oct-19,Four,Medium,None,No,No Change,One,Satisfied,Five,Poor,Oceania
13/01/2025 01:15,Yes,60+,Female,Product Owner ,Oil & Gas,1-3 years,Remote,50+,Oct-19,Three,Low,Bipolar Disorder,No,No Change,One,Dissatisfied,Five,Poor,North America
02/02/2025 06:53,Yes,50 - 59,Female,Hospitality ,IT,More than 10 years,On-site,20-29,20-29,Three,Medium,Bipolar Disorder,No,No Change,Four,Dissatisfied,Four,Average,Africa
06/02/2025 16:21,Yes,30 - 39,Female,Midwife,Construction,4-6 years,Hybrid,30-39,20-29,Two,High,None,Yes,Decrease,One,Very Satisfied,Five,Excellent,Europe
28/01/2025 22:37,Yes,50 - 59,Non-Binary,Secretary ,Hotel Operations ,7-10 years,On-site,20-29,20-29,One,Low,Anxiety,Yes,No Change,One,Dissatisfied,Four,Excellent,South America
10/02/2025 00:12,Yes,30 - 39,Prefer not to say,Technical Writing ,Oil & Gas,More than 10 years,On-site,20-29,20-29,One,High,Depression,No,Decrease,Five,Neutral,Five,Average,Oceania
15/01/2025 13:01,Yes,50 - 59,Prefer not to say,Journalist ,Technology ,1-3 years,Hybrid,50+,30+,Four,High,None,No,No Change,One,Dissatisfied,Two,Average,South America
05/02/2025 00:47,Yes,40 - 49,Non-Binary,Manager,Education,7-10 years,Hybrid,20-29,30+,Two,Low,Burnout,No,Increase,Four,Satisfied,Five,Excellent,Europe
02/02/2025 02:35,Yes,60+,Prefer not to say,Financial Analyst,Technology ,4-6 years,Hybrid,50+,30+,One,Low,Anxiety,Yes,Decrease,Two,Neutral,One,Good,North America
09/02/2025 02:30,Yes,30 - 39,Prefer not to say,Marketer,Gambling Data,1-3 years,Remote,30-39,20-29,Four,Medium,Anxiety,Yes,Decrease,One,Dissatisfied,Five,Poor,South America
16/01/2025 21:36,Yes,40 - 49,Non-Binary,Healthcare Aide,Oil & Gas,1-3 years,Remote,30-39,0-9,One,Low,Depression,No,Increase,Four,Dissatisfied,Four,Excellent,Oceania
21/01/2025 18:45,Yes,60+,Male,Writer,Oil & Gas,Less than 1 year,On-site,40-49,0-9,Three,Low,Burnout,No,Decrease,Four,Satisfied,One,Good,Oceania
14/01/2025 17:59,Yes,20 - 29,Male,Marketer,Supply Chain ,7-10 years,Remote,40-49,30+,Five,Medium,Anxiety,Yes,Decrease,One,Very Satisfied,Four,Poor,South America
25/01/2025 00:54,Yes,50 - 59,Female,Social Media Strategists ,Supply Chain ,7-10 years,Remote,40-49,20-29,Five,High,Depression,No,No Change,Five,Neutral,Three,Excellent,North America
01/01/2025 16:46,Yes,50 - 59,Non-Binary,Secretary ,Construction,4-6 years,Hybrid,40-49,0-9,Three,High,Depression,Yes,No Change,Two,Satisfied,Four,Average,Oceania
08/02/2025 07:48,Yes,40 - 49,Non-Binary,Psychiatrist ,Oil & Gas,1-3 years,Remote,20-29,0-9,One,Medium,Anxiety,No,No Change,Five,Neutral,Five,Excellent,Asia
02/02/2025 18:10,Yes,20 - 29,Female,Marketer,Finance,1-3 years,Remote,40-49,30+,Three,Low,Burnout,No,Decrease,Four,Neutral,Three,Poor,Europe
21/01/2025 18:57,Yes,60+,Non-Binary,HSE Officer ,Writing ,More than 10 years,Hybrid,20-29,0-9,Four,High,None,No,No Change,Four,Neutral,Three,Excellent,South America
10/01/2025 14:59,Yes,40 - 49,Male,Business Analyst,Retail,4-6 years,Hybrid,50+,30+,One,Low,Burnout,No,Increase,One,Dissatisfied,Five,Excellent,North America
18/01/2025 07:46,Yes,50 - 59,Prefer not to say,Marketer,Oil & Gas,4-6 years,Hybrid,50+,20-29,Four,Low,Bipolar Disorder,No,No Change,Four,Dissatisfied,Two,Excellent,Asia
17/01/2025 23:05,Yes,20 - 29,Female,Financial Analyst,Oil & Gas,Less than 1 year,On-site,20-29,Oct-19,Three,Low,Burnout,Yes,Increase,Two,Neutral,One,Average,Africa
26/01/2025 03:05,Yes,20 - 29,Non-Binary,Hospitality ,Construction,Less than 1 year,Remote,40-49,0-9,Two,Medium,Depression,No,Decrease,Three,Satisfied,Five,Poor,Africa
01/01/2025 06:58,Yes,40 - 49,Male,Communicator,NGO,1-3 years,Remote,40-49,0-9,Five,High,Anxiety,Yes,Increase,Five,Very Satisfied,Three,Good,Oceania
07/01/2025 06:00,Yes,20 - 29,Prefer not to say,Communicator,Education,1-3 years,Remote,50+,0-9,Four,Medium,Bipolar Disorder,No,Decrease,Five,Neutral,Two,Poor,South America
09/01/2025 21:57,Yes,40 - 49,Prefer not to say,Communicator,Manufacturing,1-3 years,Hybrid,30-39,Oct-19,One,Medium,None,Yes,Decrease,Four,Satisfied,Five,Poor,Africa
22/01/2025 18:30,Yes,20 - 29,Male,Technical Writing ,Manufacturing,Less than 1 year,On-site,40-49,Oct-19,Two,Medium,Depression,No,No Change,Two,Neutral,One,Poor,Oceania
13/02/2025 10:18,Yes,20 - 29,Male,Hospitality ,Finance,7-10 years,On-site,30-39,Oct-19,Three,Low,Depression,No,Decrease,Four,Dissatisfied,One,Average,South America
30/01/2025 19:03,Yes,60+,Male,Software Engineer,Health,Less than 1 year,Remote,20-29,0-9,Five,Low,Burnout,Yes,Increase,Three,Dissatisfied,Four,Average,Oceania
20/01/2025 19:25,Yes,20 - 29,Male,Lifeskill Coach,Oil & Gas,4-6 years,Remote,20-29,0-9,Three,High,Anxiety,Yes,Decrease,Four,Dissatisfied,Four,Poor,Africa
23/01/2025 19:23,Yes,60+,Non-Binary,Teacher,Media,More than 10 years,Remote,20-29,30+,Five,High,Bipolar Disorder,Yes,No Change,Two,Very Satisfied,Five,Average,Africa
24/01/2025 21:01,Yes,30 - 39,Non-Binary,IT Support,Education,1-3 years,On-site,50+,0-9,One,High,Bipolar Disorder,Yes,Decrease,One,Neutral,Five,Excellent,Africa
10/01/2025 11:21,Yes,30 - 39,Female,Technical Manager,Writing ,More than 10 years,Remote,40-49,0-9,Five,High,Depression,Yes,Decrease,Five,Very Satisfied,Four,Excellent,Asia
28/01/2025 16:26,Yes,50 - 59,Non-Binary,Financial Analyst,Retail,More than 10 years,Hybrid,40-49,Oct-19,Two,Low,Bipolar Disorder,Yes,Decrease,Three,Satisfied,Five,Excellent,South America
11/01/2025 05:53,Yes,60+,Prefer not to say,Customer Service ,Legal ,More than 10 years,Remote,20-29,0-9,One,Low,Burnout,No,Decrease,Five,Satisfied,Five,Good,Europe
31/01/2025 08:10,Yes,30 - 39,Non-Binary,Teacher,Security ,4-6 years,Remote,40-49,Oct-19,Two,Low,Bipolar Disorder,No,Increase,Two,Dissatisfied,Two,Poor,North America
23/01/2025 11:30,Yes,50 - 59,Non-Binary,Executive Assistant ,Construction,4-6 years,Hybrid,50+,30+,Five,High,Burnout,No,Increase,Five,Very Satisfied,One,Excellent,Oceania
10/01/2025 00:03,Yes,60+,Prefer not to say,Data Scientist,Oil & Gas,4-6 years,On-site,20-29,Oct-19,Five,Medium,Bipolar Disorder,Yes,Increase,Four,Satisfied,Three,Poor,Africa
03/02/2025 01:36,Yes,50 - 59,Female,Marketer,Supply Chain ,4-6 years,Remote,40-49,Oct-19,Five,Medium,Anxiety,Yes,Increase,Two,Dissatisfied,Two,Average,Oceania
05/02/2025 02:38,Yes,60+,Prefer not to say,Hospitality ,Media,Less than 1 year,On-site,40-49,0-9,Four,High,None,No,Increase,Five,Satisfied,Two,Average,Europe
07/02/2025 16:57,Yes,30 - 39,Male,Project Manager,NGO,More than 10 years,On-site,20-29,30+,Five,High,None,Yes,Increase,Five,Very Satisfied,Five,Poor,South America
13/01/2025 05:05,Yes,60+,Male,Devops Engineer ,Oil & Gas,7-10 years,Hybrid,20-29,30+,Three,High,Bipolar Disorder,Yes,Increase,Five,Very Satisfied,Two,Average,North America
27/01/2025 00:56,Yes,20 - 29,Male,Customer Service ,Oil & Gas,Less than 1 year,Remote,50+,20-29,Five,Medium,Burnout,Yes,No Change,One,Neutral,Two,Good,Oceania
26/01/2025 05:03,Yes,60+,Female,Software Engineer,Publishing ,More than 10 years,On-site,30-39,0-9,Two,High,Burnout,Yes,Decrease,One,Dissatisfied,Three,Average,Oceania
07/02/2025 00:59,Yes,40 - 49,Male,Medical Doctor,Service ,4-6 years,Hybrid,50+,20-29,One,Low,None,No,Decrease,One,Satisfied,Two,Poor,South America
08/02/2025 18:31,Yes,20 - 29,Non-Binary,Technical Writing ,Finance,More than 10 years,Hybrid,40-49,30+,Two,Low,Anxiety,No,Increase,One,Very Satisfied,Four,Excellent,South America
14/02/2025 13:41,Yes,30 - 39,Female,Marketer,NGO,Less than 1 year,Hybrid,30-39,0-9,Four,Low,None,No,No Change,Two,Dissatisfied,Two,Average,South America
12/02/2025 18:09,Yes,30 - 39,Non-Binary,Production Engineer ,Supply Chain ,7-10 years,On-site,20-29,Oct-19,Four,Low,Bipolar Disorder,No,Increase,Four,Satisfied,Five,Excellent,Asia
28/01/2025 06:29,Yes,30 - 39,Female,Product Manager,Media,4-6 years,On-site,40-49,0-9,Two,Medium,Burnout,No,Decrease,One,Dissatisfied,One,Good,Africa
27/01/2025 04:26,Yes,40 - 49,Non-Binary,Designer,Engineering,4-6 years,On-site,20-29,0-9,One,High,Burnout,No,Increase,Four,Satisfied,Five,Excellent,Africa
20/01/2025 19:09,Yes,60+,Male,Administrator,Government ,Less than 1 year,Hybrid,30-39,Oct-19,Four,Medium,Burnout,No,Decrease,One,Satisfied,Four,Good,North America
12/02/2025 13:04,Yes,50 - 59,Prefer not to say,Physiotherapist ,NGO,Less than 1 year,Hybrid,30-39,Oct-19,One,Low,Bipolar Disorder,No,Decrease,Three,Dissatisfied,Four,Good,North America
30/01/2025 02:31,Yes,60+,Female,Financial Analyst,Oil & Gas,More than 10 years,Remote,20-29,30+,Two,Low,Burnout,No,Decrease,Three,Neutral,Four,Good,Asia
03/02/2025 07:20,Yes,20 - 29,Female,Psychiatrist ,Self employed ,More than 10 years,On-site,50+,0-9,Two,High,Bipolar Disorder,Yes,No Change,One,Dissatisfied,Four,Excellent,South America
15/02/2025 18:40,Yes,40 - 49,Prefer not to say,Accountant ,Education,Less than 1 year,Hybrid,50+,Oct-19,Four,Low,Depression,Yes,Increase,Two,Neutral,One,Average,North America
18/01/2025 03:38,Yes,40 - 49,Female,Business Analyst,Oil & Gas,7-10 years,On-site,30-39,20-29,Three,Low,Depression,Yes,Increase,Three,Dissatisfied,One,Average,Asia
06/02/2025 10:31,Yes,20 - 29,Female,Customer Service ,Media,1-3 years,On-site,40-49,20-29,Two,Medium,Burnout,Yes,Decrease,Five,Very Satisfied,One,Good,Asia
13/01/2025 21:31,Yes,30 - 39,Female,Process Engineer,Security ,More than 10 years,Remote,40-49,20-29,Four,Low,Depression,Yes,No Change,Three,Neutral,Five,Poor,South America
08/02/2025 05:06,Yes,50 - 59,Male,Communicator,Oil & Gas,1-3 years,Remote,20-29,0-9,Two,High,Depression,No,No Change,Two,Dissatisfied,One,Average,South America
27/01/2025 19:39,Yes,40 - 49,Non-Binary,Law Practice ,Service ,4-6 years,On-site,30-39,30+,Four,Medium,None,No,Increase,Three,Satisfied,Five,Average,Europe
24/01/2025 18:56,Yes,40 - 49,Male,Product Manager,Health,1-3 years,Remote,40-49,0-9,Three,Low,Depression,Yes,No Change,One,Satisfied,Three,Good,North America
11/01/2025 02:46,Yes,30 - 39,Female,Technical Writing ,Oil & Gas,7-10 years,Remote,20-29,20-29,Five,Medium,Bipolar Disorder,Yes,No Change,Five,Dissatisfied,Three,Excellent,South America
12/01/2025 08:46,Yes,50 - 59,Prefer not to say,Healthcare Aide,Construction,Less than 1 year,Remote,40-49,30+,Two,Low,Anxiety,Yes,Increase,Four,Neutral,One,Excellent,South America
27/01/2025 20:21,Yes,30 - 39,Male,Consultant,Self employed ,More than 10 years,Hybrid,50+,20-29,Four,Medium,Burnout,Yes,Decrease,Two,Very Satisfied,Three,Average,Asia
13/01/2025 14:29,Yes,60+,Male,Business Analyst,Service ,1-3 years,On-site,30-39,0-9,Two,High,None,Yes,Decrease,Five,Dissatisfied,Three,Average,North America
05/01/2025 22:17,Yes,30 - 39,Male,Administrator,Writing ,Less than 1 year,On-site,30-39,20-29,Five,High,Bipolar Disorder,Yes,Increase,Five,Dissatisfied,Four,Excellent,South America
03/02/2025 22:48,Yes,20 - 29,Male,Materials Coordinator ,Oil & Gas,7-10 years,Hybrid,50+,0-9,One,Low,Depression,No,Decrease,Five,Very Satisfied,One,Excellent,Asia
02/01/2025 19:46,Yes,50 - 59,Male,IT Support ,Legal ,7-10 years,Hybrid,50+,30+,One,Low,Bipolar Disorder,No,No Change,One,Satisfied,One,Excellent,Oceania
16/01/2025 04:10,Yes,40 - 49,Male,Product Manager,Oil & Gas,4-6 years,Hybrid,30-39,20-29,Four,Low,None,Yes,Increase,Five,Satisfied,Four,Poor,Asia
12/02/2025 05:58,Yes,30 - 39,Male,Business Analyst,Oil & Gas,4-6 years,Hybrid,30-39,20-29,Five,High,None,No,Increase,One,Dissatisfied,Four,Excellent,Africa
10/01/2025 05:12,Yes,40 - 49,Female,Social Media Strategists ,Consulting,Less than 1 year,Hybrid,20-29,Oct-19,One,High,Anxiety,Yes,Decrease,Three,Neutral,Three,Average,Asia
04/02/2025 11:33,Yes,40 - 49,Female,Social Media Strategists ,Oil & Gas,7-10 years,Hybrid,40-49,0-9,One,Low,Burnout,No,Increase,Four,Dissatisfied,Two,Good,South America
10/02/2025 04:15,Yes,20 - 29,Male,IT Support,Writing ,More than 10 years,Hybrid,30-39,0-9,Two,High,Bipolar Disorder,Yes,No Change,Four,Satisfied,Three,Excellent,North America
16/01/2025 12:13,Yes,50 - 59,Prefer not to say,Product Owner ,NGO,7-10 years,Hybrid,50+,20-29,Three,High,Burnout,No,No Change,Five,Neutral,Five,Good,Europe
05/01/2025 00:02,Yes,50 - 59,Male,Customer Service ,Human Services,7-10 years,Remote,50+,20-29,One,Medium,Anxiety,Yes,No Change,Three,Dissatisfied,Five,Excellent,Oceania
06/02/2025 22:40,Yes,40 - 49,Non-Binary,Production Engineer ,Gaming,7-10 years,Hybrid,50+,20-29,Five,Low,Depression,No,Increase,One,Dissatisfied,Three,Good,Asia
03/01/2025 05:41,Yes,40 - 49,Female,Lifeskill Coach,Oil & Gas,More than 10 years,On-site,50+,20-29,One,Medium,None,Yes,Decrease,Five,Neutral,Three,Average,North America
03/01/2025 03:31,Yes,40 - 49,Non-Binary,Process Engineer ,Oil & Gas,4-6 years,Remote,40-49,20-29,Four,Low,Depression,Yes,No Change,Three,Satisfied,Four,Poor,Asia
12/01/2025 04:57,Yes,30 - 39,Prefer not to say,Executive Assistant ,Service ,7-10 years,On-site,20-29,0-9,Two,Low,Burnout,Yes,Increase,Three,Very Satisfied,Three,Good,Asia
20/01/2025 11:57,Yes,50 - 59,Female,Compliance Analyst,Oil & Gas,4-6 years,Hybrid,40-49,30+,One,Low,None,Yes,Increase,Two,Very Satisfied,Five,Poor,Oceania
15/01/2025 15:38,Yes,60+,Prefer not to say,Communicator,IT,Less than 1 year,On-site,20-29,Oct-19,Four,High,None,No,Decrease,One,Very Satisfied,Four,Good,Asia
03/02/2025 16:46,Yes,20 - 29,Female,Healthcare Aide,Education,4-6 years,On-site,40-49,0-9,Three,Low,Bipolar Disorder,Yes,Increase,Two,Satisfied,Four,Excellent,South America
22/01/2025 05:32,Yes,30 - 39,Male,Banking ,Finance,4-6 years,Hybrid,20-29,0-9,One,High,Bipolar Disorder,No,Increase,One,Satisfied,Five,Average,South America
23/01/2025 11:21,Yes,50 - 59,Male,Business Analyst,Education,7-10 years,Remote,20-29,0-9,One,High,Bipolar Disorder,No,Decrease,Five,Neutral,One,Average,Europe
11/02/2025 07:04,Yes,30 - 39,Non-Binary,Technical Writing ,Oil & Gas,4-6 years,Remote,50+,Oct-19,Five,High,Depression,Yes,Increase,Five,Very Satisfied,Four,Poor,North America
26/01/2025 00:07,Yes,50 - 59,Non-Binary,Military Personnel ,Consulting,4-6 years,Hybrid,50+,Oct-19,Five,High,Anxiety,No,Decrease,Two,Very Satisfied,Two,Average,Europe
09/01/2025 22:34,Yes,20 - 29,Male,IT Support ,Education,4-6 years,Hybrid,50+,0-9,Four,Low,Depression,No,Decrease,Four,Dissatisfied,Three,Average,Europe
30/01/2025 02:30,Yes,40 - 49,Male,Banking ,Government ,Less than 1 year,Remote,20-29,0-9,Three,High,Depression,Yes,Increase,Four,Satisfied,Four,Average,Europe
18/01/2025 00:44,Yes,40 - 49,Male,Virtual Assistant ,Consulting,1-3 years,On-site,40-49,20-29,Five,Low,Bipolar Disorder,Yes,No Change,Two,Very Satisfied,One,Good,Africa
08/02/2025 16:22,Yes,30 - 39,Non-Binary,Technical Writing ,Health,More than 10 years,On-site,30-39,0-9,Five,Medium,Burnout,Yes,No Change,Three,Very Satisfied,Three,Average,Europe
26/01/2025 02:08,Yes,40 - 49,Non-Binary,Social Media Strategists ,Oil & Gas,More than 10 years,On-site,20-29,20-29,Three,Low,None,Yes,Increase,Three,Satisfied,Four,Average,Europe
19/01/2025 08:04,Yes,60+,Prefer not to say,Secretary ,Publishing ,More than 10 years,On-site,20-29,30+,Two,Medium,Anxiety,Yes,No Change,Two,Neutral,Two,Average,Africa
18/01/2025 10:29,Yes,20 - 29,Non-Binary,Aluminum ,Oil & Gas,1-3 years,Hybrid,50+,Oct-19,Three,Medium,Depression,No,Decrease,Five,Dissatisfied,Two,Excellent,Africa
03/02/2025 15:20,Yes,50 - 59,Non-Binary,Secretary ,Health,7-10 years,Remote,20-29,0-9,Two,Low,None,No,Decrease,Four,Satisfied,Three,Good,South America
21/01/2025 02:12,Yes,40 - 49,Male,Project Manager,Oil & Gas,Less than 1 year,Remote,30-39,30+,Three,Low,Bipolar Disorder,Yes,Increase,Four,Very Satisfied,Five,Excellent,North America
10/02/2025 03:36,Yes,20 - 29,Non-Binary,Designer,Publishing ,Less than 1 year,Hybrid,50+,Oct-19,One,Medium,None,No,No Change,Three,Neutral,One,Average,Europe
09/02/2025 19:45,Yes,50 - 59,Male,Military Personnel ,Oil & Gas,4-6 years,Hybrid,20-29,0-9,Five,Medium,Depression,No,Increase,Three,Very Satisfied,Four,Poor,Oceania
02/01/2025 08:20,Yes,40 - 49,Male,Technical Writing ,Self employed ,1-3 years,Remote,30-39,30+,Four,Medium,Burnout,No,Increase,Four,Dissatisfied,Five,Good,Europe
09/01/2025 11:32,Yes,40 - 49,Prefer not to say,Consultant,Oil & Gas,More than 10 years,On-site,30-39,30+,Two,Medium,Bipolar Disorder,Yes,No Change,One,Dissatisfied,One,Average,North America
16/01/2025 22:36,Yes,30 - 39,Non-Binary,Psychiatrist ,Oil & Gas,1-3 years,Hybrid,40-49,0-9,Three,Low,None,No,Increase,Two,Neutral,Four,Poor,Europe
07/01/2025 06:59,Yes,20 - 29,Female,Virtual Assistant ,Oil & Gas,1-3 years,On-site,30-39,Oct-19,Four,High,Bipolar Disorder,No,No Change,Five,Dissatisfied,Two,Good,Asia
30/01/2025 17:31,Yes,30 - 39,Male,Accountant ,Writing ,Less than 1 year,Hybrid,50+,Oct-19,Four,Medium,Anxiety,Yes,No Change,Two,Dissatisfied,Four,Poor,Asia
15/02/2025 11:08,Yes,50 - 59,Prefer not to say,Devops Engineer ,Health,1-3 years,Hybrid,40-49,20-29,Two,Medium,Depression,No,No Change,Four,Satisfied,Three,Good,Europe
12/01/2025 17:47,Yes,20 - 29,Non-Binary,Process Engineer,Construction,4-6 years,Hybrid,20-29,0-9,Four,Medium,Bipolar Disorder,Yes,Increase,Three,Neutral,One,Poor,North America
27/01/2025 07:29,Yes,50 - 59,Prefer not to say,Materials Coordinator ,Oil & Gas,4-6 years,On-site,40-49,20-29,One,High,Bipolar Disorder,Yes,Increase,Five,Satisfied,Four,Poor,Europe
02/01/2025 17:37,Yes,60+,Prefer not to say,Aluminum ,Writing ,Less than 1 year,Remote,40-49,0-9,Three,Medium,Anxiety,Yes,Increase,Three,Dissatisfied,Four,Excellent,North America
14/01/2025 12:17,Yes,30 - 39,Prefer not to say,Lecturing,Human Services,4-6 years,Hybrid,40-49,0-9,Two,Medium,None,Yes,Decrease,One,Dissatisfied,Four,Average,Africa
04/02/2025 07:56,Yes,40 - 49,Prefer not to say,Customer Service ,Health,More than 10 years,Remote,40-49,0-9,Five,Medium,Anxiety,Yes,Decrease,Four,Neutral,Four,Average,Europe
29/01/2025 15:50,Yes,60+,Non-Binary,Aluminum ,NGO,4-6 years,Remote,30-39,0-9,Three,Medium,Bipolar Disorder,Yes,Decrease,Five,Dissatisfied,Two,Excellent,North America
30/01/2025 09:08,Yes,20 - 29,Non-Binary,Virtual Assistant ,Media,More than 10 years,Hybrid,40-49,0-9,Five,Medium,Bipolar Disorder,No,No Change,Two,Satisfied,Five,Good,Asia
09/02/2025 20:13,Yes,30 - 39,Male,Technical Manager,Health,Less than 1 year,Hybrid,40-49,0-9,Three,Low,Bipolar Disorder,No,No Change,Three,Satisfied,Three,Average,North America
01/01/2025 13:48,Yes,30 - 39,Female,Administrator,Manufacturing,More than 10 years,Hybrid,50+,0-9,Three,Low,Burnout,Yes,No Change,Three,Dissatisfied,Five,Good,South America
05/02/2025 09:54,Yes,20 - 29,Prefer not to say,Administrator,IT,4-6 years,On-site,50+,30+,One,Low,Anxiety,No,No Change,One,Satisfied,Four,Excellent,Europe
22/01/2025 22:09,Yes,30 - 39,Female,Psychiatrist ,Government ,Less than 1 year,Remote,30-39,Oct-19,Two,High,Burnout,Yes,No Change,One,Satisfied,Two,Poor,Europe
22/01/2025 05:08,Yes,20 - 29,Prefer not to say,Teacher,Gaming,4-6 years,On-site,40-49,20-29,Two,Low,Bipolar Disorder,No,No Change,One,Very Satisfied,Four,Poor,Europe
06/01/2025 08:01,Yes,50 - 59,Prefer not to say,Virtual Assistant ,Media,1-3 years,Hybrid,40-49,20-29,Five,High,Bipolar Disorder,Yes,Decrease,Three,Very Satisfied,Two,Good,North America
25/01/2025 08:39,Yes,50 - 59,Prefer not to say,Journalist ,Oil & Gas,4-6 years,On-site,30-39,0-9,One,Medium,Depression,Yes,Decrease,Four,Dissatisfied,Two,Average,Asia
03/01/2025 13:44,Yes,30 - 39,Male,Production Engineer ,Self employed ,Less than 1 year,On-site,40-49,Oct-19,Four,High,None,Yes,No Change,Four,Very Satisfied,Two,Good,Asia
12/02/2025 00:41,Yes,20 - 29,Prefer not to say,Technical Writing ,Government ,4-6 years,On-site,50+,Oct-19,Five,Low,Bipolar Disorder,No,No Change,Four,Satisfied,Four,Average,Africa
12/02/2025 19:42,Yes,60+,Female,Process Engineer,Education,4-6 years,On-site,30-39,20-29,One,High,Bipolar Disorder,No,Decrease,Four,Dissatisfied,One,Average,South America
21/01/2025 21:04,Yes,50 - 59,Prefer not to say,Technical Manager,Gaming,Less than 1 year,Hybrid,50+,Oct-19,Five,Low,Anxiety,No,Decrease,Two,Neutral,Two,Average,Oceania
16/01/2025 23:04,Yes,20 - 29,Non-Binary,Virtual Assistant ,Security ,More than 10 years,On-site,50+,20-29,Three,Low,None,No,Increase,Four,Satisfied,Two,Excellent,Africa
06/02/2025 04:14,Yes,20 - 29,Non-Binary,Virtual Assistant ,Legal ,7-10 years,Hybrid,50+,30+,Three,Medium,Anxiety,No,Increase,Four,Satisfied,Three,Good,Asia
12/02/2025 21:13,Yes,50 - 59,Prefer not to say,Lifeskill Coach,Oil & Gas,Less than 1 year,Remote,50+,Oct-19,Five,High,None,No,No Change,Two,Very Satisfied,Two,Good,Oceania
05/01/2025 14:08,Yes,50 - 59,Prefer not to say,Data Scientist,Education,7-10 years,Hybrid,20-29,0-9,Two,High,Depression,No,No Change,One,Dissatisfied,Four,Average,South America
09/02/2025 01:50,Yes,20 - 29,Female,Aluminum ,Oil & Gas,1-3 years,Remote,40-49,30+,Four,Low,Bipolar Disorder,Yes,Decrease,Five,Dissatisfied,Four,Good,Europe
03/01/2025 14:06,Yes,50 - 59,Male,Sales,Education,1-3 years,On-site,30-39,20-29,Five,High,Burnout,Yes,No Change,Five,Neutral,Two,Average,Africa
13/01/2025 13:37,Yes,30 - 39,Non-Binary,Technical Writing ,Security ,More than 10 years,Hybrid,40-49,20-29,Three,Low,Depression,No,No Change,One,Very Satisfied,One,Good,Africa
10/01/2025 08:37,Yes,20 - 29,Male,Midwife,Education,More than 10 years,Hybrid,30-39,0-9,One,Medium,Bipolar Disorder,No,No Change,One,Dissatisfied,One,Good,South America
15/01/2025 01:10,Yes,60+,Non-Binary,Technical Writing ,Engineering,4-6 years,Hybrid,30-39,30+,Three,High,Depression,Yes,Decrease,Three,Neutral,Five,Average,Africa
22/01/2025 19:47,Yes,50 - 59,Male,Software Engineer,Service ,Less than 1 year,Remote,50+,20-29,Three,High,Anxiety,Yes,No Change,Three,Satisfied,Four,Good,Asia
23/01/2025 09:28,Yes,40 - 49,Prefer not to say,Medical Doctor,Media,7-10 years,Hybrid,20-29,0-9,One,High,Bipolar Disorder,Yes,Decrease,Three,Satisfied,One,Poor,North America
08/02/2025 13:42,Yes,50 - 59,Female,IT Support,Oil & Gas,Less than 1 year,On-site,40-49,30+,Two,High,Anxiety,Yes,No Change,Three,Satisfied,Two,Poor,North America
28/01/2025 13:36,Yes,40 - 49,Non-Binary,Communicator,Engineering,4-6 years,Hybrid,30-39,20-29,Four,Medium,Bipolar Disorder,No,No Change,Four,Satisfied,Four,Good,South America
08/01/2025 16:33,Yes,20 - 29,Male,Customer Service ,Gaming,More than 10 years,On-site,50+,20-29,Five,Low,None,No,Decrease,Three,Neutral,Three,Good,Europe
18/01/2025 18:54,Yes,50 - 59,Prefer not to say,Product Owner ,Gaming,4-6 years,Remote,20-29,0-9,Four,Low,None,No,Decrease,Two,Neutral,Three,Excellent,Africa
29/01/2025 06:57,Yes,40 - 49,Male,IT Support,Service ,4-6 years,Hybrid,40-49,0-9,Two,Low,Anxiety,Yes,Decrease,One,Neutral,Two,Poor,Oceania
22/01/2025 23:15,Yes,50 - 59,Prefer not to say,Lecturing,Human Services,7-10 years,On-site,40-49,0-9,One,High,None,No,No Change,One,Neutral,Three,Good,South America
